,Home,Away,Year-Month-Day
6481,Phoenix,Memphis,2021-12-27
6482,San Antonio,Utah,2021-12-27
6483,Minnesota,Boston,2021-12-27
6484,Portland,Dallas,2021-12-27
6485,Charlotte,Houston,2021-12-27
6486,Toronto,Philadelphia,2021-12-28
6487,Golden State,Denver,2021-12-28
6488,Miami,Washington,2021-12-28
6489,Minnesota,New York,2021-12-28
6490,New Orleans,Cleveland,2021-12-28
6491,Orlando,Milwaukee,2021-12-28
6492,Houston,LA Lakers,2021-12-28
6493,Sacramento,Okla City,2021-12-28
6494,Chicago,Atlanta,2021-12-29
6495,Boston,LA Clippers,2021-12-29
6496,Indiana,Charlotte,2021-12-29
6497,Memphis,LA Lakers,2021-12-29
6498,Portland,Utah,2021-12-29
6499,Sacramento,Dallas,2021-12-29
6500,Phoenix,Okla City,2021-12-29
6501,Detroit,New York,2021-12-29
6502,Brooklyn,Philadelphia,2021-12-30
6503,Washington,Cleveland,2021-12-30
6504,Orlando,Milwaukee,2021-12-30
6505,Boston,Phoenix,2021-12-31
6506,Indiana,Chicago,2021-12-31
6507,Cleveland,Atlanta,2021-12-31
6508,Memphis,San Antonio,2021-12-31
6509,Toronto,LA Clippers,2021-12-31
6510,Utah,Minnesota,2021-12-31
6511,Sacramento,Dallas,2021-12-31
6512,LA Lakers,Portland,2021-12-31
6513,Houston,Miami,2021-12-31
6514,Okla City,New York,2021-12-31
6515,Utah,Golden State,2022-01-01
6516,Brooklyn,LA Clippers,2022-01-01
6517,Washington,Chicago,2022-01-01
6518,Milwaukee,New Orleans,2022-01-01
6519,Houston,Denver,2022-01-01
6520,Detroit,San Antonio,2022-01-01
6521,Charlotte,Phoenix,2022-01-02
6522,Cleveland,Indiana,2022-01-02
6523,Sacramento,Miami,2022-01-02
6524,Toronto,New York,2022-01-02
6525,LA Lakers,Minnesota,2022-01-02
6526,Okla City,Dallas,2022-01-02
6527,Boston,Orlando,2022-01-02
6528,Brooklyn,Memphis,2022-01-03
6529,Golden State,Miami,2022-01-03
6530,Dallas,Denver,2022-01-03
6531,Portland,Atlanta,2022-01-03
6532,LA Clippers,Minnesota,2022-01-03
6533,Washington,Charlotte,2022-01-03
6534,New Orleans,Utah,2022-01-03
6535,Philadelphia,Houston,2022-01-03
6536,Chicago,Orlando,2022-01-03
6537,Milwaukee,Detroit,2022-01-03
6538,Cleveland,Memphis,2022-01-04
6539,New York,Indiana,2022-01-04
6540,Toronto,San Antonio,2022-01-04
6541,New Orleans,Phoenix,2022-01-04
6542,LA Lakers,Sacramento,2022-01-04
6543,Indiana,Brooklyn,2022-01-05
6544,Milwaukee,Toronto,2022-01-05
6545,Dallas,Golden State,2022-01-05
6546,Denver,Utah,2022-01-05
6547,Portland,Miami,2022-01-05
6548,Boston,San Antonio,2022-01-05
6549,Sacramento,Atlanta,2022-01-05
6550,Orlando,Philadelphia,2022-01-05
6551,Minnesota,Okla City,2022-01-05
6552,Charlotte,Detroit,2022-01-05
6553,Washington,Houston,2022-01-05
6554,New York,Boston,2022-01-06
6555,Phoenix,LA Clippers,2022-01-06
6556,New Orleans,Golden State,2022-01-06
6557,Memphis,Detroit,2022-01-06
6558,Brooklyn,Milwaukee,2022-01-07
6559,Toronto,Utah,2022-01-07
6560,LA Lakers,Atlanta,2022-01-07
6561,Philadelphia,San Antonio,2022-01-07
6562,Chicago,Washington,2022-01-07
6563,Portland,Cleveland,2022-01-07
6564,Denver,Sacramento,2022-01-07
6565,Houston,Dallas,2022-01-07
6566,Okla City,Minnesota,2022-01-07
6567,Phoenix,Miami,2022-01-08
6568,Charlotte,Milwaukee,2022-01-08
6569,Indiana,Utah,2022-01-08
6570,LA Clippers,Memphis,2022-01-08
6571,Boston,New York,2022-01-08
6572,Detroit,Orlando,2022-01-08
6573,Dallas,Chicago,2022-01-09
6574,Golden State,Cleveland,2022-01-09
6575,LA Lakers,Memphis,2022-01-09
6576,LA Clippers,Atlanta,2022-01-09
6577,Brooklyn,San Antonio,2022-01-09
6578,Okla City,Denver,2022-01-09
6579,Toronto,New Orleans,2022-01-09
6580,Portland,Sacramento,2022-01-09
6581,Houston,Minnesota,2022-01-09
6582,Orlando,Washington,2022-01-09
6583,Charlotte,Milwaukee,2022-01-10
6584,Boston,Indiana,2022-01-10
6585,Portland,Brooklyn,2022-01-10
6586,New York,San Antonio,2022-01-10
6587,Sacramento,Cleveland,2022-01-10
6588,Houston,Philadelphia,2022-01-10
6589,Detroit,Utah,2022-01-10
6590,Memphis,Golden State,2022-01-11
6591,Toronto,Phoenix,2022-01-11
6592,LA Clippers,Denver,2022-01-11
6593,New Orleans,Minnesota,2022-01-11
6594,Washington,Okla City,2022-01-11
6595,Chicago,Detroit,2022-01-11
6596,Chicago,Brooklyn,2022-01-12
6597,Utah,Cleveland,2022-01-12
6598,Indiana,Boston,2022-01-12
6599,Atlanta,Miami,2022-01-12
6600,Philadelphia,Charlotte,2022-01-12
6601,New York,Dallas,2022-01-12
6602,Sacramento,LA Lakers,2022-01-12
6603,Washington,Orlando,2022-01-12
6604,San Antonio,Houston,2022-01-12
6605,Milwaukee,Golden State,2022-01-13
6606,Memphis,Minnesota,2022-01-13
6607,Denver,Portland,2022-01-13
6608,New Orleans,LA Clippers,2022-01-13
6609,Brooklyn,Okla City,2022-01-13
6610,Chicago,Golden State,2022-01-14
6611,Philadelphia,Boston,2022-01-14
6612,Memphis,Dallas,2022-01-14
6613,Indiana,Phoenix,2022-01-14
6614,Miami,Atlanta,2022-01-14
6615,San Antonio,Cleveland,2022-01-14
6616,Detroit,Toronto,2022-01-14
6617,Charlotte,Orlando,2022-01-14
6618,Sacramento,Houston,2022-01-14
6619,Miami,Philadelphia,2022-01-15
6620,Boston,Chicago,2022-01-15
6621,Milwaukee,Toronto,2022-01-15
6622,Atlanta,New York,2022-01-15
6623,Denver,LA Lakers,2022-01-15
6624,Brooklyn,New Orleans,2022-01-15
6625,San Antonio,LA Clippers,2022-01-15
6626,Okla City,Cleveland,2022-01-15
6627,Washington,Portland,2022-01-15
6628,Dallas,Orlando,2022-01-15
6629,Denver,Utah,2022-01-16
6630,Minnesota,Golden State,2022-01-16
6631,Detroit,Phoenix,2022-01-16
6632,Sacramento,Houston,2022-01-16
6633,Cleveland,Brooklyn,2022-01-17
6634,Memphis,Chicago,2022-01-17
6635,Miami,Toronto,2022-01-17
6636,Atlanta,Milwaukee,2022-01-17
6637,New York,Charlotte,2022-01-17
6638,Washington,Philadelphia,2022-01-17
6639,LA Lakers,Utah,2022-01-17
6640,LA Clippers,Indiana,2022-01-17
6641,San Antonio,Phoenix,2022-01-17
6642,Boston,New Orleans,2022-01-17
6643,Dallas,Okla City,2022-01-17
6644,Orlando,Portland,2022-01-17
6645,New York,Minnesota,2022-01-18
6646,Golden State,Detroit,2022-01-18
6647,Milwaukee,Memphis,2022-01-19
6648,Chicago,Cleveland,2022-01-19
6649,Dallas,Toronto,2022-01-19
6650,Boston,Charlotte,2022-01-19
6651,Atlanta,Minnesota,2022-01-19
6652,Washington,Brooklyn,2022-01-19
6653,Denver,LA Clippers,2022-01-19
6654,LA Lakers,Indiana,2022-01-19
6655,Miami,Portland,2022-01-19
6656,San Antonio,Okla City,2022-01-19
6657,Utah,Houston,2022-01-19
6658,Philadelphia,Orlando,2022-01-19
6659,Sacramento,Detroit,2022-01-19
6660,Dallas,Phoenix,2022-01-20
6661,Golden State,Indiana,2022-01-20
6662,New York,New Orleans,2022-01-20
6663,Milwaukee,Chicago,2022-01-21
6664,Denver,Memphis,2022-01-21
6665,Atlanta,Miami,2022-01-21
6666,San Antonio,Brooklyn,2022-01-21
6667,Washington,Toronto,2022-01-21
6668,Philadelphia,LA Clippers,2022-01-21
6669,Boston,Portland,2022-01-21
6670,Charlotte,Okla City,2022-01-21
6671,Orlando,LA Lakers,2022-01-21
6672,Golden State,Houston,2022-01-21
6673,Utah,Detroit,2022-01-21
6674,Phoenix,Indiana,2022-01-22
6675,Milwaukee,Sacramento,2022-01-22
6676,Cleveland,Okla City,2022-01-22
6677,Golden State,Utah,2022-01-23
6678,Dallas,Memphis,2022-01-23
6679,Minnesota,Brooklyn,2022-01-23
6680,San Antonio,Philadelphia,2022-01-23
6681,Washington,Boston,2022-01-23
6682,Charlotte,Atlanta,2022-01-23
6683,Miami,LA Lakers,2022-01-23
6684,New York,LA Clippers,2022-01-23
6685,Toronto,Portland,2022-01-23
6686,Orlando,Chicago,2022-01-23
6687,Denver,Detroit,2022-01-23
6688,Phoenix,Utah,2022-01-24
6689,Cleveland,New York,2022-01-24
6690,New Orleans,Indiana,2022-01-24
6691,Okla City,Chicago,2022-01-24
6692,Golden State,Dallas,2022-01-25
6693,Toronto,Charlotte,2022-01-25
6694,Brooklyn,LA Lakers,2022-01-25
6695,Portland,Minnesota,2022-01-25
6696,Philadelphia,New Orleans,2022-01-25
6697,Washington,LA Clippers,2022-01-25
6698,Boston,Sacramento,2022-01-25
6699,Detroit,Denver,2022-01-25
6700,Houston,San Antonio,2022-01-25
6701,Utah,Phoenix,2022-01-26
6702,Cleveland,Milwaukee,2022-01-26
6703,Brooklyn,Denver,2022-01-26
6704,Chicago,Toronto,2022-01-26
6705,Miami,New York,2022-01-26
6706,Indiana,Charlotte,2022-01-26
6707,San Antonio,Memphis,2022-01-26
6708,Portland,Dallas,2022-01-26
6709,Atlanta,Sacramento,2022-01-26
6710,Orlando,LA Clippers,2022-01-26
6711,Golden State,Minnesota,2022-01-27
6712,Philadelphia,LA Lakers,2022-01-27
6713,Memphis,Utah,2022-01-28
6714,Atlanta,Boston,2022-01-28
6715,Milwaukee,New York,2022-01-28
6716,Miami,LA Clippers,2022-01-28
6717,Phoenix,Minnesota,2022-01-28
6718,San Antonio,Chicago,2022-01-28
6719,New Orleans,Denver,2022-01-28
6720,Charlotte,LA Lakers,2022-01-28
6721,Okla City,Indiana,2022-01-28
6722,Houston,Portland,2022-01-28
6723,Orlando,Detroit,2022-01-28
6724,Golden State,Brooklyn,2022-01-29
6725,Miami,Toronto,2022-01-29
6726,Dallas,Indiana,2022-01-29
6727,New Orleans,Boston,2022-01-29
6728,Memphis,Washington,2022-01-29
6729,Philadelphia,Sacramento,2022-01-29
6730,Milwaukee,Denver,2022-01-30
6731,Minnesota,Utah,2022-01-30
6732,Atlanta,LA Lakers,2022-01-30
6733,Charlotte,LA Clippers,2022-01-30
6734,Chicago,Portland,2022-01-30
6735,Phoenix,San Antonio,2022-01-30
6736,Orlando,Dallas,2022-01-30
6737,Detroit,Cleveland,2022-01-30
6738,Boston,Miami,2022-01-31
6739,Philadelphia,Memphis,2022-01-31
6740,Atlanta,Toronto,2022-01-31
6741,Indiana,LA Clippers,2022-01-31
6742,Cleveland,New Orleans,2022-01-31
6743,New York,Sacramento,2022-01-31
6744,Okla City,Portland,2022-01-31
6745,Houston,Golden State,2022-01-31
6746,Toronto,Miami,2022-02-01
6747,Minnesota,Denver,2022-02-01
6748,Phoenix,Brooklyn,2022-02-01
6749,San Antonio,Golden State,2022-02-01
6750,Milwaukee,Washington,2022-02-01
6751,Chicago,Orlando,2022-02-01
6752,Detroit,New Orleans,2022-02-01
6753,Utah,Denver,2022-02-02
6754,Boston,Charlotte,2022-02-02
6755,New York,Memphis,2022-02-02
6756,Sacramento,Brooklyn,2022-02-02
6757,Philadelphia,Washington,2022-02-02
6758,LA Lakers,Portland,2022-02-02
6759,Dallas,Okla City,2022-02-02
6760,Houston,Cleveland,2022-02-02
6761,Indiana,Orlando,2022-02-02
6762,Toronto,Chicago,2022-02-03
6763,Atlanta,Phoenix,2022-02-03
6764,San Antonio,Miami,2022-02-03
6765,LA Clippers,LA Lakers,2022-02-03
6766,Golden State,Sacramento,2022-02-03
6767,Detroit,Minnesota,2022-02-03
6768,Dallas,Philadelphia,2022-02-04
6769,Utah,Brooklyn,2022-02-04
6770,Charlotte,Cleveland,2022-02-04
6771,Toronto,Atlanta,2022-02-04
6772,Indiana,Chicago,2022-02-04
6773,Denver,New Orleans,2022-02-04
6774,Detroit,Boston,2022-02-04
6775,Portland,Okla City,2022-02-04
6776,San Antonio,Houston,2022-02-04
6777,Charlotte,Miami,2022-02-05
6778,Portland,Milwaukee,2022-02-05
6779,LA Lakers,New York,2022-02-05
6780,Washington,Phoenix,2022-02-05
6781,Orlando,Memphis,2022-02-05
6782,Sacramento,Okla City,2022-02-05
6783,Chicago,Philadelphia,2022-02-06
6784,Denver,Brooklyn,2022-02-06
6785,LA Clippers,Milwaukee,2022-02-06
6786,Dallas,Atlanta,2022-02-06
6787,Cleveland,Indiana,2022-02-06
6788,Orlando,Boston,2022-02-06
6789,Houston,New Orleans,2022-02-06
6790,Minnesota,Detroit,2022-02-06
6791,Chicago,Phoenix,2022-02-07
6792,Charlotte,Toronto,2022-02-07
6793,Washington,Miami,2022-02-07
6794,Utah,New York,2022-02-07
6795,Okla City,Golden State,2022-02-07
6796,Philadelphia,Phoenix,2022-02-08
6797,Brooklyn,Boston,2022-02-08
6798,LA Lakers,Milwaukee,2022-02-08
6799,Memphis,LA Clippers,2022-02-08
6800,Denver,New York,2022-02-08
6801,Atlanta,Indiana,2022-02-08
6802,Sacramento,Minnesota,2022-02-08
6803,Dallas,Detroit,2022-02-08
6804,New Orleans,Houston,2022-02-08
6805,Portland,Orlando,2022-02-08
6806,Utah,Golden State,2022-02-09
6807,Charlotte,Chicago,2022-02-09
6808,Cleveland,San Antonio,2022-02-09
6809,Sacramento,Minnesota,2022-02-09
6810,Portland,LA Lakers,2022-02-09
6811,Okla City,Toronto,2022-02-09
6812,Phoenix,Milwaukee,2022-02-10
6813,Dallas,LA Clippers,2022-02-10
6814,New Orleans,Miami,2022-02-10
6815,Washington,Brooklyn,2022-02-10
6816,Golden State,New York,2022-02-10
6817,Houston,Toronto,2022-02-10
6818,Detroit,Memphis,2022-02-10
6819,Boston,Denver,2022-02-11
6820,Chicago,Minnesota,2022-02-11
6821,Indiana,Cleveland,2022-02-11
6822,Atlanta,San Antonio,2022-02-11
6823,Philadelphia,Okla City,2022-02-11
6824,Utah,Orlando,2022-02-11
6825,Detroit,Charlotte,2022-02-11
6826,Philadelphia,Cleveland,2022-02-12
6827,Toronto,Denver,2022-02-12
6828,Charlotte,Memphis,2022-02-12
6829,Miami,Brooklyn,2022-02-12
6830,Dallas,LA Clippers,2022-02-12
6831,Golden State,LA Lakers,2022-02-12
6832,New Orleans,San Antonio,2022-02-12
6833,Portland,New York,2022-02-12
6834,Chicago,Okla City,2022-02-12
6835,Washington,Sacramento,2022-02-12
6836,Phoenix,Orlando,2022-02-12
6837,Boston,Atlanta,2022-02-13
6838,Indiana,Minnesota,2022-02-13
6839,LA Clippers,Golden State,2022-02-14
6840,Chicago,San Antonio,2022-02-14
6841,New Orleans,Toronto,2022-02-14
6842,Milwaukee,Portland,2022-02-14
6843,Brooklyn,Sacramento,2022-02-14
6844,Denver,Orlando,2022-02-14
6845,New York,Okla City,2022-02-14
6846,Utah,Houston,2022-02-14
6847,Washington,Detroit,2022-02-14
6848,Philadelphia,Boston,2022-02-15
6849,Miami,Dallas,2022-02-15
6850,Atlanta,Cleveland,2022-02-15
6851,Minnesota,Charlotte,2022-02-15
6852,New Orleans,Memphis,2022-02-15
6853,Phoenix,LA Clippers,2022-02-15
6854,Milwaukee,Indiana,2022-02-15
6855,Golden State,Denver,2022-02-16
6856,Minnesota,Toronto,2022-02-16
6857,LA Lakers,Utah,2022-02-16
6858,New York,Brooklyn,2022-02-16
6859,Memphis,Portland,2022-02-16
6860,Indiana,Washington,2022-02-16
6861,Okla City,San Antonio,2022-02-16
6862,Chicago,Sacramento,2022-02-16
6863,Orlando,Atlanta,2022-02-16
6864,Boston,Detroit,2022-02-16
6865,Phoenix,Houston,2022-02-16
6866,Milwaukee,Philadelphia,2022-02-17
6867,Charlotte,Miami,2022-02-17
6868,New Orleans,Dallas,2022-02-17
6869,Brooklyn,Washington,2022-02-17
6870,LA Clippers,Houston,2022-02-17
6871,Brooklyn,Boston,2022-02-24
6872,Minnesota,Memphis,2022-02-24
6873,Chicago,Atlanta,2022-02-24
6874,Portland,Golden State,2022-02-24
6875,Sacramento,Denver,2022-02-24
6876,Okla City,Phoenix,2022-02-24
6877,Detroit,Cleveland,2022-02-24
6878,Utah,Dallas,2022-02-25
6879,Minnesota,Philadelphia,2022-02-25
6880,Charlotte,Toronto,2022-02-25
6881,New York,Miami,2022-02-25
6882,LA Lakers,LA Clippers,2022-02-25
6883,Washington,San Antonio,2022-02-25
6884,Phoenix,New Orleans,2022-02-25
6885,Indiana,Okla City,2022-02-25
6886,Orlando,Houston,2022-02-25
6887,Chicago,Memphis,2022-02-26
6888,Atlanta,Toronto,2022-02-26
6889,Milwaukee,Brooklyn,2022-02-26
6890,Miami,San Antonio,2022-02-26
6891,Cleveland,Washington,2022-02-26
6892,Denver,Sacramento,2022-02-26
6893,Detroit,Boston,2022-02-26
6894,Phoenix,Utah,2022-02-27
6895,Golden State,Dallas,2022-02-27
6896,Indiana,Boston,2022-02-27
6897,New York,Philadelphia,2022-02-27
6898,Portland,Denver,2022-02-27
6899,LA Lakers,New Orleans,2022-02-27
6900,Houston,LA Clippers,2022-02-27
6901,Charlotte,Detroit,2022-02-27
6902,Miami,Chicago,2022-02-28
6903,Brooklyn,Toronto,2022-02-28
6904,Cleveland,Minnesota,2022-02-28
6905,Milwaukee,Charlotte,2022-02-28
6906,Memphis,San Antonio,2022-02-28
6907,Okla City,Sacramento,2022-02-28
6908,Orlando,Indiana,2022-02-28
6909,Minnesota,Golden State,2022-02-29
6910,Boston,Atlanta,2022-02-29
6911,LA Lakers,Dallas,2022-02-29
6912,Toronto,Brooklyn,2022-02-29
6913,Houston,LA Clippers,2022-02-29
6914,Washington,Detroit,2022-02-29
6915,Milwaukee,Miami,2022-02-30
6916,Cleveland,Charlotte,2022-02-30
6917,Philadelphia,New York,2022-02-30
6918,Phoenix,Portland,2022-02-30
6919,Denver,Okla City,2022-02-30
6920,New Orleans,Sacramento,2022-02-30
6921,Orlando,Indiana,2022-02-30
6922,Houston,Utah,2022-02-30
6923,Boston,Memphis,2022-02-31
6924,Dallas,Golden State,2022-02-31
6925,Atlanta,Chicago,2022-02-31
6926,Brooklyn,Miami,2022-02-31
6927,LA Clippers,LA Lakers,2022-02-31
6928,San Antonio,Sacramento,2022-02-31
6929,Toronto,Detroit,2022-02-31
6930,Minnesota,Golden State,2022-03-01
6931,Boston,Atlanta,2022-03-01
6932,LA Lakers,Dallas,2022-03-01
6933,Toronto,Brooklyn,2022-03-01
6934,Houston,LA Clippers,2022-03-01
6935,Washington,Detroit,2022-03-01
6936,Milwaukee,Miami,2022-03-02
6937,Cleveland,Charlotte,2022-03-02
6938,Philadelphia,New York,2022-03-02
6939,Phoenix,Portland,2022-03-02
6940,Denver,Okla City,2022-03-02
6941,New Orleans,Sacramento,2022-03-02
6942,Orlando,Indiana,2022-03-02
6943,Houston,Utah,2022-03-02
6944,Boston,Memphis,2022-03-03
6945,Dallas,Golden State,2022-03-03
6946,Atlanta,Chicago,2022-03-03
6947,Brooklyn,Miami,2022-03-03
6948,LA Clippers,LA Lakers,2022-03-03
6949,San Antonio,Sacramento,2022-03-03
6950,Toronto,Detroit,2022-03-03
6951,Chicago,Milwaukee,2022-03-04
6952,Philadelphia,Cleveland,2022-03-04
6953,New Orleans,Utah,2022-03-04
6954,Washington,Atlanta,2022-03-04
6955,Phoenix,New York,2022-03-04
6956,Okla City,Minnesota,2022-03-04
6957,Toronto,Orlando,2022-03-04
6958,Detroit,Indiana,2022-03-04
6959,Denver,Houston,2022-03-04
6960,Miami,Philadelphia,2022-03-05
6961,LA Lakers,Golden State,2022-03-05
6962,Charlotte,San Antonio,2022-03-05
6963,Minnesota,Portland,2022-03-05
6964,Dallas,Sacramento,2022-03-05
6965,Memphis,Orlando,2022-03-05
6966,Milwaukee,Phoenix,2022-03-06
6967,Cleveland,Toronto,2022-03-06
6968,Boston,Brooklyn,2022-03-06
6969,Denver,New Orleans,2022-03-06
6970,LA Clippers,New York,2022-03-06
6971,Okla City,Utah,2022-03-06
6972,Washington,Indiana,2022-03-06
6973,Houston,Memphis,2022-03-06
6974,Dallas,Utah,2022-03-07
6975,Denver,Golden State,2022-03-07
6976,Philadelphia,Chicago,2022-03-07
6977,San Antonio,LA Lakers,2022-03-07
6978,Minnesota,Portland,2022-03-07
6979,Sacramento,New York,2022-03-07
6980,Detroit,Atlanta,2022-03-07
6981,Miami,Houston,2022-03-07
6982,Golden State,LA Clippers,2022-03-08
6983,Charlotte,Brooklyn,2022-03-08
6984,Memphis,New Orleans,2022-03-08
6985,Indiana,Cleveland,2022-03-08
6986,Okla City,Milwaukee,2022-03-08
6987,Orlando,Phoenix,2022-03-08
6988,Miami,Phoenix,2022-03-09
6989,Milwaukee,Atlanta,2022-03-09
6990,Charlotte,Boston,2022-03-09
6991,San Antonio,Toronto,2022-03-09
6992,Dallas,New York,2022-03-09
6993,Sacramento,Denver,2022-03-09
6994,LA Clippers,Washington,2022-03-09
6995,Utah,Portland,2022-03-09
6996,Minnesota,Okla City,2022-03-09
6997,Detroit,Chicago,2022-03-09
6998,New Orleans,Orlando,2022-03-09
6999,Houston,LA Lakers,2022-03-09
7000,Denver,Golden State,2022-03-10
7001,Philadelphia,Brooklyn,2022-03-10
7002,Miami,Cleveland,2022-03-11
7003,Phoenix,Toronto,2022-03-11
7004,San Antonio,Utah,2022-03-11
7005,Atlanta,LA Clippers,2022-03-11
7006,Memphis,New York,2022-03-11
7007,New Orleans,Charlotte,2022-03-11
7008,LA Lakers,Washington,2022-03-11
7009,Orlando,Minnesota,2022-03-11
7010,Houston,Dallas,2022-03-11
7011,Boston,Detroit,2022-03-11
7012,Golden State,Milwaukee,2022-03-12
7013,Miami,Minnesota,2022-03-12
7014,Denver,Toronto,2022-03-12
7015,Chicago,Cleveland,2022-03-12
7016,San Antonio,Indiana,2022-03-12
7017,Utah,Sacramento,2022-03-12
7018,Portland,Washington,2022-03-12
7019,Boston,Dallas,2022-03-13
7020,Brooklyn,New York,2022-03-13
7021,Phoenix,LA Lakers,2022-03-13
7022,Atlanta,Indiana,2022-03-13
7023,Orlando,Philadelphia,2022-03-13
7024,Okla City,Memphis,2022-03-13
7025,Detroit,LA Clippers,2022-03-13
7026,New Orleans,Houston,2022-03-13
7027,Utah,Milwaukee,2022-03-14
7028,Philadelphia,Denver,2022-03-14
7029,San Antonio,Minnesota,2022-03-14
7030,Cleveland,LA Clippers,2022-03-14
7031,LA Lakers,Toronto,2022-03-14
7032,Golden State,Washington,2022-03-14
7033,Sacramento,Chicago,2022-03-14
7034,Atlanta,Portland,2022-03-14
7035,Okla City,Charlotte,2022-03-14
7036,New Orleans,Phoenix,2022-03-15
7037,Indiana,Memphis,2022-03-15
7038,Orlando,Brooklyn,2022-03-15
7039,Miami,Detroit,2022-03-15
7040,Golden State,Boston,2022-03-16
7041,Cleveland,Philadelphia,2022-03-16
7042,Brooklyn,Dallas,2022-03-16
7043,Utah,Chicago,2022-03-16
7044,Charlotte,Atlanta,2022-03-16
7045,LA Clippers,Toronto,2022-03-16
7046,Washington,Denver,2022-03-16
7047,Minnesota,LA Lakers,2022-03-16
7048,Sacramento,Milwaukee,2022-03-16
7049,New York,Portland,2022-03-16
7050,San Antonio,Okla City,2022-03-16
7051,Houston,Phoenix,2022-03-16
7052,Orlando,Detroit,2022-03-17
7053,Philadelphia,Dallas,2022-03-18
7054,Cleveland,Denver,2022-03-18
7055,Atlanta,Memphis,2022-03-18
7056,Phoenix,Chicago,2022-03-18
7057,Utah,LA Clippers,2022-03-18
7058,San Antonio,New Orleans,2022-03-18
7059,Sacramento,Boston,2022-03-18
7060,Toronto,LA Lakers,2022-03-18
7061,New York,Washington,2022-03-18
7062,Brooklyn,Portland,2022-03-18
7063,Miami,Okla City,2022-03-18
7064,Houston,Indiana,2022-03-18
7065,Minnesota,Milwaukee,2022-03-19
7066,Charlotte,Dallas,2022-03-19
7067,Washington,LA Lakers,2022-03-19
7068,Cleveland,Detroit,2022-03-19
7069,Denver,Boston,2022-03-20
7070,Philadelphia,Toronto,2022-03-20
7071,New York,Utah,2022-03-20
7072,Atlanta,New Orleans,2022-03-20
7073,Golden State,San Antonio,2022-03-20
7074,Sacramento,Phoenix,2022-03-20
7075,Indiana,Portland,2022-03-20
7076,Houston,Memphis,2022-03-20
7077,Orlando,Okla City,2022-03-20
7078,Philadelphia,Miami,2022-03-21
7079,Dallas,Minnesota,2022-03-21
7080,Brooklyn,Utah,2022-03-21
7081,Chicago,Toronto,2022-03-21
7082,Charlotte,New Orleans,2022-03-21
7083,Cleveland,LA Lakers,2022-03-21
7084,Okla City,Boston,2022-03-21
7085,Detroit,Portland,2022-03-21
7086,Houston,Washington,2022-03-21
7087,Milwaukee,Chicago,2022-03-22
7088,New York,Atlanta,2022-03-22
7089,Denver,LA Clippers,2022-03-22
7090,Orlando,Golden State,2022-03-22
7091,Boston,Utah,2022-03-23
7092,Miami,Golden State,2022-03-23
7093,Minnesota,Phoenix,2022-03-23
7094,Memphis,Brooklyn,2022-03-23
7095,Charlotte,New York,2022-03-23
7096,LA Lakers,Philadelphia,2022-03-23
7097,Portland,San Antonio,2022-03-23
7098,Indiana,Sacramento,2022-03-23
7099,Detroit,Atlanta,2022-03-23
7100,Okla City,Orlando,2022-03-23
7101,Dallas,Houston,2022-03-23
7102,Denver,Phoenix,2022-03-24
7103,Toronto,Cleveland,2022-03-24
7104,New Orleans,Chicago,2022-03-24
7105,Memphis,Indiana,2022-03-24
7106,Milwaukee,Washington,2022-03-24
7107,Minnesota,Dallas,2022-03-25
7108,Atlanta,Golden State,2022-03-25
7109,Charlotte,Utah,2022-03-25
7110,LA Clippers,Philadelphia,2022-03-25
7111,Miami,New York,2022-03-25
7112,Detroit,Washington,2022-03-25
7113,Portland,Houston,2022-03-25
7114,Memphis,Milwaukee,2022-03-26
7115,Miami,Brooklyn,2022-03-26
7116,Cleveland,Chicago,2022-03-26
7117,New Orleans,San Antonio,2022-03-26
7118,Toronto,Indiana,2022-03-26
7119,Denver,Okla City,2022-03-26
7120,Orlando,Sacramento,2022-03-26
7121,Portland,Houston,2022-03-26
7122,Dallas,Utah,2022-03-27
7123,Boston,Minnesota,2022-03-27
7124,Phoenix,Philadelphia,2022-03-27
7125,Brooklyn,Charlotte,2022-03-27
7126,Washington,Golden State,2022-03-27
7127,New Orleans,LA Lakers,2022-03-27
7128,Detroit,New York,2022-03-27
7129,Memphis,Golden State,2022-03-28
7130,Toronto,Boston,2022-03-28
7131,Charlotte,Denver,2022-03-28
7132,New York,Chicago,2022-03-28
7133,Indiana,Atlanta,2022-03-28
7134,Miami,Sacramento,2022-03-28
7135,Portland,Okla City,2022-03-28
7136,Cleveland,Orlando,2022-03-28
7137,Houston,San Antonio,2022-03-28
7138,Philadelphia,Milwaukee,2022-03-29
7139,LA Clippers,Utah,2022-03-29
7140,Dallas,LA Lakers,2022-03-29
7141,Washington,Chicago,2022-03-29
7142,Brooklyn,Detroit,2022-03-29
7143,Golden State,Phoenix,2022-03-30
7144,Boston,Miami,2022-03-30
7145,Cleveland,Dallas,2022-03-30
7146,Toronto,Minnesota,2022-03-30
7147,New York,Charlotte,2022-03-30
7148,San Antonio,Memphis,2022-03-30
7149,Indiana,Denver,2022-03-30
7150,Okla City,Atlanta,2022-03-30
7151,Portland,New Orleans,2022-03-30
7152,Houston,Sacramento,2022-03-30
7153,Washington,Orlando,2022-03-30
7154,Brooklyn,Milwaukee,2022-03-31
7155,Atlanta,Cleveland,2022-03-31
7156,Utah,LA Lakers,2022-03-31
7157,Chicago,LA Clippers,2022-03-31
7158,Detroit,Philadelphia,2022-03-31
7159,Miami,Golden State,2022-11-01
